S.No.,Developer Name,CEO Name ,Office Address,Office Contact No.,Mobile No. ,E Mail,Total Project capacity (MW),Project Location,Project Tehsil/Taluka,Project District,Project Logitude,Project Latitude,"Projects in Solar Park
(Yes/No), If yes mention Solar Park name",,Type (Ground Mounted/Rooftop/Other),Type of Module (Thin/Poly/Mono/Other),Module Make,Scheme (Central /State Scheme),Mode of sale of power(captive/PPA/Third party sale),Tenure of PPA,Substation Name,Substation Voltage Level,Feeder Name,Feeder Voltage,Commissioned AC Capacity (MW) ,Commissioned DC Capacity (MWp) ,Date of Commissioning ,"Remark,if any",FY
178,Aditya Birla Renewable  LTd,Surajit Chanda,"A-4, Aditya Birla Centre, S.K.Aheri Marg, Worli, Mumbai 400 030",9873722454,,abrespv@adityabirla.com,11.25,Dudyala,Sambepalli,YSR Kadapa ,"78°50'53.08""E","13°57'29.96""N",No,NA,Ground mounted,Poly Crystalline,,State,Captive,NA,Sambepalli SS,132/33 KV,Sambepalli SS,33 KV,11.25,12.362,03.03.2022,,2021-22
179,M/s. Ananthapur Energy Projects Private Limited,,"Vijayawada, NTR District",,,,8.4,Gandhikovur,Chakryapeta,Annamayya District,,,,NA,,,,,Captive,NA,,,,,8.4,,01.06.2022,,2022-23
180,M/s. Amara Raja Batteries Limited,,"Karakambadi, Tirupati, Tirupati District- 517520",9000711129,,gjm@amararaja.com,50,Vadepalli ,Aragonda ,Chittoor,,,,NA,,,,,Captive,NA,,,,,50,,10.06.2022,,2022-23
181,M/s. Precot Limited,,"SF.No: 559/4, D Block, 4th floor, Hanudev Info park, Nava India Road, Udaiyampalayam, Coimbatore District-641028",9994449412,9666151960,varadaraj@precot.com,3.2,Kodigenahalli,Parigi,Ananthapur,,,,NA,,,,,Captive,NA,,,,,3.2,4,24.06.2022,,2022-23
182,M/s. Greater Visakhapatnam Municipal Corporation,GVMC Commissioner,"GVSCCL,Room No : 306,Tenneti Bhavan,Ramnagar,Viskhapatnam- 530002",Office Assistant : K .Appa Rao .8106455030,8106455030,manager@gvsccl.in,2.415,"Meghadhrigadda Reservoir, Narava (Floating Solar Project)",Pendurthy,Visakhapatnam,,,,NA,,,,,Captive,NA,,,,,2.415,,30.06.2022,,2022-23
183,M/s. Coastal Corporation Limited,Venkata Satyanaryana,"15-1-37/3, Nowroji Road, Maharanipet, Visakhapatnam - 530002",0891-2567118,9346386668,info@coastalcorp.co.in,3.06,Daleswaram,Kanchili,Srikakulam,,,,NA,,,,,Captive,NA,,,,,3.06,3.6,19.07.2022,,2022-23
184,M/s. Dalmia Cements (Bharath) Ltd,Mallikarjun,"Chinnakomerla (V), Mylavaram (M), Kadapa District-516433",-,9908577761,s.mallikarjun@dalmiacement.com,16.08,Chinnakomerla,Mylavaram ,Kadapa,,,No,NA,,,,,Captive,NA,Jammalamadugu SS,132/33 KV,Jammalamadugu SS,132KV,16.08,13.4,10.08.2022,,2022-23
185,"Sri Durga Malleswara Swamy Vari Devasthanam, Vijayawada",Executive Officer,"Indrakeeladri, Vijayawada, NTR District",-,7660007662,,1,Pathapadu,Vijayawada Rural,Krishna,,,No,NA,,,,,Captive,NA,Nunna SS,33/11KV,Surampalli Feeder,33KV,1,1,05.09.2022,,2022-23
186,M/s. FP Solar Shakti Pvt Ltd,"Director, Giridhar Babu Inampudi","Plot No.46, H.No.4-9-10, HMT Nagar, Hyderabad",,040-27158865,cs@fourthpartner.co,13.2,Gandikovvur,Chakrayapeta,YSR,,,No,NA,,,,,Captive,NA,Chakrayapeta SS,220/132/33 KV,,220KV,13.2,,26.12.2022,,2022-23
,TOTAL,,,,,,4271.27,,,,,,,,,,,,,,,,,,4271.27,,,,
